system:index,mean_ndvi,month,year,.geo
49,0.1545495293855465,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.15408535999315615,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.19207601654228654,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.18797101897781227,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.1873923159263909,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.17807759113393568,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.1587168585210723,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.13966725438275746,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.13764822029152135,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.126760192613949,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.1161283726879366,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.10891120860086338,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.13170808375866297,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.16797884551431,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.1816826587418242,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.1825010267860571,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.18604685445960228,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.20456583426051828,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.19708657733750243,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.17098706550621365,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.17875752420837415,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.15164893079913278,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.17769397478408158,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
